,ns,host,time,value,plugin_running_on,swan_loadpoint_qps,achieved_qps_percent,swan_experiment,swan_aggressor_name,swan_phase,swan_repetition,throughputs
1060,/intel/swan/mutilate/ovh8/min,ovh8,2016-12-19 15:25:33.776,54.8,ovh8,225000,100.00%,7be3c448-4fa2-4178-75aa-e23d292d4030,Caffe,Aggressor Caffe; load point 8;,0,
1061,/intel/swan/mutilate/ovh8/std,ovh8,2016-12-19 19:16:26.596,62.6,ovh8,375000,100.00%,7be3c448-4fa2-4178-75aa-e23d292d4030,Stream 100M,Aggressor Stream 100M; load point 14;,0,
1062,/intel/swan/mutilate/ovh8/percentile/95th,ovh8,2016-12-19 13:30:20.053,329.9,ovh8,400000,99.99%,7be3c448-4fa2-4178-75aa-e23d292d4030,None,Aggressor None; load point 15;,0,
1063,/intel/swan/mutilate/ovh8/percentile/99_000000th/custom,ovh8,2016-12-20 07:52:15.546,483.754209,ovh8,500000,100.00%,7be3c448-4fa2-4178-75aa-e23d292d4030,L1 Data,Aggressor L1 Data; load point 19;,0,
1064,/intel/swan/mutilate/ovh8/min,ovh8,2016-12-19 19:16:26.596,60.2,ovh8,375000,100.00%,7be3c448-4fa2-4178-75aa-e23d292d4030,Stream 100M,Aggressor Stream 100M; load point 14;,0,
1065,/intel/swan/mutilate/ovh8/percentile/99th,ovh8,2016-12-19 22:41:07.664,510.0,ovh8,450000,100.01%,7be3c448-4fa2-4178-75aa-e23d292d4030,L3 Data,Aggressor L3 Data; load point 17;,0,
1066,/intel/swan/mutilate/ovh8/avg,ovh8,2016-12-19 20:36:31.538,158.4,ovh8,100000,100.01%,7be3c448-4fa2-4178-75aa-e23d292d4030,L3 Data,Aggressor L3 Data; load point 3;,0,
1067,/intel/swan/mutilate/ovh8/std,ovh8,2016-12-19 11:44:22.297,45.3,ovh8,100000,100.03%,7be3c448-4fa2-4178-75aa-e23d292d4030,None,Aggressor None; load point 3;,0,
1068,/intel/swan/mutilate/ovh8/std,ovh8,2016-12-19 17:56:31.171,60.3,ovh8,150000,99.98%,7be3c448-4fa2-4178-75aa-e23d292d4030,Stream 100M,Aggressor Stream 100M; load point 5;,0,
1069,/intel/swan/mutilate/ovh8/avg,ovh8,2016-12-20 00:45:20.996,190.5,ovh8,300000,99.98%,7be3c448-4fa2-4178-75aa-e23d292d4030,memBW,Aggressor memBW; load point 11;,0,
1070,/intel/swan/mutilate/ovh8/std,ovh8,2016-12-19 12:55:00.541,54.3,ovh8,300000,99.99%,7be3c448-4fa2-4178-75aa-e23d292d4030,None,Aggressor None; load point 11;,0,
1071,/intel/swan/mutilate/ovh8/percentile/5th,ovh8,2016-12-19 19:52:02.675,150.7,ovh8,475000,100.00%,7be3c448-4fa2-4178-75aa-e23d292d4030,Stream 100M,Aggressor Stream 100M; load point 18;,0,
